TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
1,2020-01-21 06:30:00,0.5,615.0,112,3.2,98,1007,2.9,878.0,1019.0
1,2020-01-21 06:45:00,0.6,606.0,90,3.2,98,1007,2.7,-95.0,-226.0
1,2020-01-21 07:00:00,0.7,596.0,82,3.2,98,1007,2.7,-1.0,-108.0
1,2020-01-21 07:15:00,0.7,597.0,74,3.3,98,1007,2.9,110.0,-145.0
1,2020-01-21 07:30:00,0.9,609.0,69,3.4,98,1007,3.4,1271.0,923.0
1,2020-01-21 07:45:00,0.9,620.0,63,3.5,97,1007,3.3,2454.0,2468.0
1,2020-01-21 08:00:00,1.0,632.0,61,3.6,97,1007,3.4,3044.0,2847.0
1,2020-01-21 08:15:00,1.1,661.0,56,3.8,97,1007,3.6,4357.0,4189.0
1,2020-01-21 08:30:00,1.2,708.0,48,4.0,96,1007,3.9,5615.0,5740.0
1,2020-01-21 08:45:00,1.3,754.0,42,4.3,95,1007,2.8,864.0,1052.0
1,2020-01-21 09:00:00,1.5,801.0,37,4.5,94,1007,2.7,334.0,232.0
1,2020-01-21 09:15:00,1.6,781.0,35,4.8,92,1007,3.0,-65.0,-57.0
1,2020-01-21 09:30:00,1.7,694.0,33,5.3,91,1007,2.3,-116.0,-267.0
1,2020-01-21 09:45:00,1.6,608.0,30,5.8,89,1007,2.1,-117.0,-286.0
1,2020-01-21 10:00:00,1.7,521.0,28,6.3,88,1007,2.1,-96.0,-265.0
1,2020-01-21 10:15:00,1.6,492.0,27,6.8,86,1007,1.6,-82.0,-264.0
1,2020-01-21 10:30:00,1.3,521.0,29,7.3,85,1007,1.7,-98.0,-284.0
1,2020-01-21 10:45:00,1.0,550.0,24,7.8,83,1007,1.8,-94.0,-248.0
1,2020-01-21 11:00:00,0.7,579.0,27,8.3,82,1007,1.7,-115.0,-293.0
1,2020-01-21 11:15:00,0.4,667.0,27,8.7,80,1007,1.7,-75.0,-260.0
1,2020-01-21 11:30:00,0.2,816.0,27,9.2,78,1007,1.2,-108.0,-261.0
1,2020-01-21 11:45:00,0.1,964.0,0,9.6,77,1006,1.4,-98.0,-260.0
1,2020-01-21 12:00:00,0.0,1113.0,0,10.1,75,1006,1.7,-83.0,-261.0
1,2020-01-21 12:15:00,0.1,1296.0,225,10.6,73,1006,1.8,-106.0,-289.0
1,2020-01-21 12:30:00,0.2,1515.0,243,11.1,71,1006,1.8,-97.0,-263.0
1,2020-01-21 12:45:00,0.4,1734.0,243,11.6,69,1006,1.9,-129.0,-288.0
1,2020-01-21 13:00:00,0.5,1953.0,248,12.1,67,1006,2.2,-77.0,-260.0
1,2020-01-21 13:15:00,0.7,2161.0,254,12.4,65,1006,2.3,-110.0,-259.0
1,2020-01-21 13:30:00,0.8,2359.0,263,12.7,63,1006,2.3,-104.0,-248.0
1,2020-01-21 13:45:00,1.0,2558.0,264,12.9,62,1005,2.3,-108.0,-263.0
1,2020-01-21 14:00:00,1.1,2756.0,270,13.2,60,1005,2.6,-107.0,-284.0
1,2020-01-21 14:15:00,1.2,2824.0,270,13.3,59,1005,2.6,-154.0,-290.0
1,2020-01-21 14:30:00,1.2,2763.0,270,13.4,58,1005,1.9,-144.0,-278.0
1,2020-01-21 14:45:00,1.1,2702.0,270,13.5,57,1005,2.2,-75.0,-245.0
1,2020-01-21 15:00:00,1.1,2641.0,275,13.6,56,1005,2.5,-106.0,-272.0
1,2020-01-21 15:15:00,1.1,2515.0,275,13.6,55,1005,2.5,-130.0,-307.0
1,2020-01-21 15:30:00,1.0,2326.0,270,13.5,56,1005,2.6,-88.0,-257.0
1,2020-01-21 15:45:00,0.9,2136.0,270,13.4,57,1005,2.6,-108.0,-277.0
1,2020-01-21 16:00:00,0.8,1947.0,263,13.3,58,1005,3.0,-138.0,-267.0
1,2020-01-21 16:15:00,0.8,1877.0,256,13.1,58,1005,2.6,-108.0,-284.0
1,2020-01-21 16:30:00,0.9,1927.0,252,12.8,59,1005,2.5,-81.0,-227.0
1,2020-01-21 16:45:00,1.0,1978.0,246,12.5,60,1005,2.4,-106.0,-254.0
1,2020-01-21 17:00:00,1.1,2028.0,243,12.2,61,1005,2.4,-104.0,-265.0
1,2020-01-21 17:15:00,1.3,2134.0,241,11.8,62,1005,2.7,-89.0,-245.0
1,2020-01-21 17:30:00,1.3,2295.0,243,11.4,63,1005,2.6,-232.0,-380.0
1,2020-01-21 17:45:00,1.4,2456.0,245,11.0,64,1006,2.5,-119.0,-312.0
1,2020-01-21 18:00:00,1.5,2617.0,247,10.6,65,1006,2.7,-142.0,-318.0
1,2020-01-21 18:15:00,1.5,2818.0,247,10.3,67,1006,2.7,38.0,-180.0
1,2020-01-21 18:30:00,1.6,3059.0,243,10.1,68,1006,2.8,-4.0,-188.0
1,2020-01-21 18:45:00,1.5,3301.0,242,9.8,69,1006,2.7,90.0,42.0
1,2020-01-21 19:00:00,1.5,3542.0,238,9.6,70,1006,2.7,317.0,81.0
1,2020-01-21 19:15:00,1.6,3868.0,235,9.3,71,1006,2.9,1113.0,652.0
1,2020-01-21 19:30:00,1.6,4278.0,232,8.8,74,1006,3.3,3855.0,3592.0
1,2020-01-21 19:45:00,1.8,4687.0,232,8.3,76,1006,3.3,5145.0,5024.0
1,2020-01-21 20:00:00,1.8,5097.0,229,7.8,79,1006,3.6,5940.0,5836.0
1,2020-01-21 20:15:00,1.9,5377.0,231,7.5,81,1006,3.5,6121.0,6064.0
1,2020-01-21 20:30:00,1.9,5527.0,235,7.2,82,1006,3.4,4807.0,4572.0
1,2020-01-21 20:45:00,2.0,5678.0,240,6.9,83,1006,3.7,5855.0,5684.0
1,2020-01-21 21:00:00,2.0,5828.0,243,6.6,84,1006,4.0,9175.0,9449.0
1,2020-01-21 21:15:00,1.9,5952.0,249,6.4,85,1006,3.7,6444.0,6441.0
1,2020-01-21 21:30:00,1.9,6050.0,258,6.3,85,1006,3.6,5761.0,5243.0
1,2020-01-21 21:45:00,1.9,6149.0,264,6.2,86,1006,3.6,6177.0,5761.0
1,2020-01-21 22:00:00,2.0,6247.0,270,6.1,86,1006,3.6,5096.0,5155.0
1,2020-01-21 22:15:00,2.0,6319.0,276,5.9,86,1006,3.7,6028.0,6038.0
1,2020-01-21 22:30:00,2.1,6365.0,284,5.6,87,1006,3.2,2826.0,2642.0
1,2020-01-21 22:45:00,2.2,6412.0,288,5.3,88,1007,3.0,1911.0,1891.0
1,2020-01-21 23:00:00,2.3,6458.0,295,5.0,89,1007,2.3,140.0,83.0
1,2020-01-21 23:15:00,2.5,6357.0,302,4.6,89,1007,2.6,-77.0,-253.0
1,2020-01-21 23:30:00,2.6,6110.0,309,4.2,90,1007,2.6,-154.0,-373.0
1,2020-01-21 23:45:00,2.8,5863.0,315,3.9,91,1007,2.4,-110.0,-308.0
1,2020-01-22 00:00:00,4.8,7645.0,344,3.2,92,1007,3.5,336.0,315.0
1,2020-01-22 00:15:00,5.0,8374.0,348,3.1,92,1007,3.6,5424.0,5319.0
1,2020-01-22 00:30:00,5.2,9566.0,352,3.0,92,1007,3.4,5759.0,5135.0
1,2020-01-22 00:45:00,5.5,10758.0,356,2.9,92,1007,3.9,8429.0,8284.0
1,2020-01-22 01:00:00,5.8,11950.0,359,2.8,92,1007,4.2,11680.0,10542.0
1,2020-01-22 01:15:00,5.9,12746.0,0,2.7,92,1007,3.9,9093.0,9347.0
1,2020-01-22 01:30:00,5.8,13146.0,2,2.5,93,1007,3.6,6266.0,6514.0
1,2020-01-22 01:45:00,5.8,13547.0,5,2.2,93,1007,3.6,5281.0,4797.0
1,2020-01-22 02:00:00,5.7,13947.0,7,2.0,94,1007,3.8,7039.0,6786.0
1,2020-01-22 02:15:00,5.7,14060.0,10,1.8,94,1007,3.8,8295.0,8085.0
1,2020-01-22 02:30:00,5.6,13887.0,14,1.6,95,1007,4.2,11676.0,11091.0
1,2020-01-22 02:45:00,5.4,13714.0,17,1.4,95,1007,4.5,15409.0,15254.0
1,2020-01-22 03:00:00,5.3,13541.0,21,1.2,96,1007,4.7,16598.0,16020.0
1,2020-01-22 03:15:00,5.3,13547.0,26,1.1,96,1007,5.0,20935.0,20514.0
1,2020-01-22 03:30:00,5.2,13734.0,30,1.0,97,1007,5.2,23144.0,22425.0
1,2020-01-22 03:45:00,5.1,13920.0,35,0.9,97,1006,5.0,19656.0,19979.0
1,2020-01-22 04:00:00,5.0,14107.0,39,0.8,98,1006,5.0,22712.0,22650.0
1,2020-01-22 04:15:00,5.0,14298.0,43,0.7,98,1006,4.9,22179.0,21362.0
1,2020-01-22 04:30:00,4.9,14494.0,45,0.7,98,1006,5.2,25937.0,25780.0
1,2020-01-22 04:45:00,5.0,14691.0,47,0.7,99,1006,4.7,20809.0,20812.0
1,2020-01-22 05:00:00,5.0,14887.0,48,0.7,99,1006,4.5,18801.0,20369.0
1,2020-01-22 05:15:00,4.9,15374.0,49,0.7,99,1006,4.5,16318.0,16755.0
1,2020-01-22 05:30:00,4.9,16151.0,51,0.8,99,1006,4.5,14698.0,15342.0
1,2020-01-22 05:45:00,4.9,16929.0,52,0.8,99,1007,4.5,14803.0,14582.0
1,2020-01-22 06:00:00,4.9,17706.0,54,0.9,99,1007,4.6,16664.0,16148.0
1,2020-01-22 06:15:00,4.9,18185.0,55,0.9,99,1007,4.7,18306.0,17889.0
1,2020-01-22 06:30:00,4.8,18365.0,54,1.0,99,1007,4.3,13990.0,14819.0
1,2020-01-22 06:45:00,4.8,18545.0,54,1.0,99,1008,3.6,7347.0,7888.0
1,2020-01-22 07:00:00,4.7,18725.0,54,1.1,99,1008,3.8,8619.0,8776.0
1,2020-01-22 07:15:00,4.8,18989.0,53,1.2,99,1008,3.8,9693.0,9389.0
1,2020-01-22 07:30:00,4.8,19338.0,50,1.3,98,1008,4.3,15495.0,15220.0
1,2020-01-22 07:45:00,4.8,19686.0,48,1.4,97,1008,4.0,11944.0,12471.0
1,2020-01-22 08:00:00,4.9,20035.0,46,1.5,96,1008,4.0,10616.0,10240.0
1,2020-01-22 08:15:00,4.8,19740.0,43,1.6,95,1008,3.6,7604.0,7500.0
1,2020-01-22 08:30:00,4.7,18803.0,43,1.9,93,1008,3.9,8826.0,8638.0
1,2020-01-22 08:45:00,4.5,17865.0,42,2.2,92,1009,4.4,15397.0,14983.0
1,2020-01-22 09:00:00,4.3,16928.0,42,2.5,90,1009,4.2,13171.0,12838.0
1,2020-01-22 09:15:00,4.2,16119.0,42,2.8,88,1009,4.2,12671.0,11961.0
1,2020-01-22 09:30:00,4.2,15440.0,44,3.2,86,1009,4.1,11417.0,12562.0
1,2020-01-22 09:45:00,4.2,14761.0,46,3.6,84,1009,4.1,11009.0,11228.0
1,2020-01-22 10:00:00,4.2,14082.0,48,4.0,82,1009,3.6,7564.0,7184.0
1,2020-01-22 10:15:00,4.0,13497.0,50,4.4,80,1009,4.0,8048.0,6698.0
1,2020-01-22 10:30:00,3.9,13006.0,54,4.8,78,1009,3.8,8499.0,7415.0
1,2020-01-22 10:45:00,3.8,12515.0,58,5.1,75,1009,4.1,11414.0,10982.0
1,2020-01-22 11:00:00,3.7,12024.0,63,5.5,73,1009,4.0,9557.0,8699.0
1,2020-01-22 11:15:00,3.6,11562.0,66,5.8,71,1009,3.7,8345.0,8181.0
1,2020-01-22 11:30:00,3.7,11129.0,66,6.0,70,1009,4.0,9395.0,8468.0
1,2020-01-22 11:45:00,3.7,10696.0,66,6.3,69,1008,3.7,8018.0,8674.0
1,2020-01-22 12:00:00,3.8,10263.0,67,6.5,68,1008,3.9,9321.0,7938.0
1,2020-01-22 12:15:00,3.8,9729.0,67,6.7,66,1008,3.9,8996.0,8326.0
1,2020-01-22 12:30:00,3.8,9094.0,67,6.9,65,1008,4.0,9970.0,10506.0
1,2020-01-22 12:45:00,3.8,8459.0,68,7.1,64,1008,4.0,9928.0,8724.0
1,2020-01-22 13:00:00,3.8,7824.0,68,7.3,63,1008,3.9,8632.0,10090.0
1,2020-01-22 13:15:00,3.7,7419.0,70,7.4,62,1008,4.1,10079.0,8606.0
1,2020-01-22 13:30:00,3.8,7245.0,72,7.5,62,1008,4.0,10128.0,9715.0
1,2020-01-22 13:45:00,3.9,7072.0,73,7.5,61,1007,4.1,10446.0,10132.0
1,2020-01-22 14:00:00,3.9,6898.0,75,7.6,61,1007,3.9,9982.0,9711.0
1,2020-01-22 14:15:00,4.0,7023.0,77,7.5,61,1007,3.7,8248.0,8953.0
1,2020-01-22 14:30:00,4.1,7446.0,79,7.3,62,1007,3.6,6188.0,6156.0
1,2020-01-22 14:45:00,4.2,7869.0,79,7.1,62,1007,3.5,6530.0,6356.0
1,2020-01-22 15:00:00,4.3,8292.0,81,6.9,63,1007,3.7,7105.0,6795.0
1,2020-01-22 15:15:00,4.3,8800.0,82,6.6,64,1007,3.3,4388.0,4960.0
1,2020-01-22 15:30:00,4.4,9392.0,84,6.3,66,1007,3.2,4156.0,4173.0
1,2020-01-22 15:45:00,4.5,9984.0,85,5.9,67,1007,3.4,5102.0,5055.0
1,2020-01-22 16:00:00,4.6,10576.0,86,5.6,69,1007,3.4,4234.0,4051.0
1,2020-01-22 16:15:00,4.8,11125.0,88,5.2,71,1007,3.4,4004.0,3895.0
1,2020-01-22 16:30:00,4.9,11632.0,89,4.8,73,1007,3.4,5201.0,4760.0
1,2020-01-22 16:45:00,5.0,12138.0,90,4.3,75,1008,3.7,6436.0,5733.0
1,2020-01-22 17:00:00,5.1,12645.0,90,3.9,77,1008,3.2,5228.0,4876.0
1,2020-01-22 17:15:00,5.3,13338.0,90,3.6,79,1008,3.4,4645.0,4833.0
1,2020-01-22 17:30:00,5.5,14218.0,91,3.3,80,1008,4.0,9251.0,9012.0
1,2020-01-22 17:45:00,5.6,15099.0,91,3.0,82,1008,3.7,8650.0,8468.0
1,2020-01-22 18:00:00,5.8,15979.0,92,2.7,83,1008,3.9,9896.0,9796.0
1,2020-01-22 18:15:00,5.9,16480.0,91,2.4,85,1008,4.1,11977.0,11679.0
1,2020-01-22 18:30:00,5.9,16601.0,90,2.2,86,1008,4.4,14653.0,13998.0
1,2020-01-22 18:45:00,6.0,16722.0,90,2.0,87,1008,4.4,15075.0,13635.0
1,2020-01-22 19:00:00,6.0,16843.0,89,1.8,88,1008,4.4,15394.0,14488.0
1,2020-01-22 19:15:00,6.0,16861.0,87,1.7,89,1008,4.5,16119.0,17684.0
1,2020-01-22 19:30:00,5.9,16778.0,85,1.6,89,1008,5.0,20191.0,20673.0
1,2020-01-22 19:45:00,5.8,16694.0,83,1.6,90,1008,4.7,18504.0,18395.0
1,2020-01-22 20:00:00,5.8,16611.0,81,1.5,90,1008,4.6,16893.0,15808.0
1,2020-01-22 20:15:00,5.7,16342.0,80,1.5,90,1008,4.2,12285.0,12376.0
1,2020-01-22 20:30:00,5.6,15887.0,79,1.5,90,1008,4.1,12480.0,12224.0
1,2020-01-22 20:45:00,5.5,15432.0,77,1.5,90,1008,3.9,10006.0,10146.0
1,2020-01-22 21:00:00,5.5,14977.0,76,1.5,90,1008,4.6,16163.0,15007.0
1,2020-01-22 21:15:00,5.3,14516.0,76,1.5,90,1008,4.8,19123.0,19523.0
1,2020-01-22 21:30:00,5.2,14050.0,75,1.5,90,1008,4.7,17685.0,18126.0
1,2020-01-22 21:45:00,5.1,13584.0,74,1.5,90,1008,4.7,17140.0,17520.0
1,2020-01-22 22:00:00,5.0,13118.0,74,1.5,90,1008,5.1,23887.0,24753.0
1,2020-01-22 22:15:00,4.8,12756.0,72,1.5,90,1008,4.8,19292.0,19220.0
1,2020-01-22 22:30:00,4.7,12499.0,70,1.5,90,1008,4.1,11927.0,12767.0
1,2020-01-22 22:45:00,4.6,12241.0,68,1.5,89,1008,3.9,10276.0,9759.0
1,2020-01-22 23:00:00,4.5,11984.0,66,1.5,89,1008,4.3,12781.0,12900.0
1,2020-01-22 23:15:00,4.3,11665.0,65,1.5,89,1008,4.1,10879.0,10902.0
1,2020-01-22 23:30:00,4.2,11286.0,63,1.4,89,1008,4.2,12145.0,12305.0
1,2020-01-22 23:45:00,4.1,10907.0,62,1.4,90,1008,3.9,9966.0,8957.0
1,2020-01-23 00:00:00,4.4,10344.0,32,1.7,83,1008,3.9,9811.0,9811.0
1,2020-01-23 00:15:00,4.3,10249.0,31,1.6,83,1008,4.0,10109.0,9555.0
1,2020-01-23 00:30:00,4.3,10188.0,30,1.5,83,1008,3.8,8828.0,9213.0
1,2020-01-23 00:45:00,4.2,10127.0,27,1.5,82,1008,3.5,6693.0,6945.0
1,2020-01-23 01:00:00,4.2,10066.0,25,1.4,82,1008,3.2,4712.0,4694.0
1,2020-01-23 01:15:00,4.2,10169.0,24,1.4,82,1008,3.0,2656.0,2844.0
1,2020-01-23 01:30:00,4.2,10437.0,24,1.3,82,1008,2.7,795.0,757.0
1,2020-01-23 01:45:00,4.2,10704.0,22,1.2,83,1008,2.7,853.0,734.0
1,2020-01-23 02:00:00,4.2,10972.0,22,1.1,83,1008,3.6,3468.0,3013.0
1,2020-01-23 02:15:00,4.2,11079.0,22,1.1,83,1008,3.9,9261.0,8737.0
1,2020-01-23 02:30:00,4.2,11025.0,21,1.0,83,1008,3.7,7009.0,7145.0
1,2020-01-23 02:45:00,4.1,10971.0,20,0.9,83,1007,3.7,7478.0,6993.0
1,2020-01-23 03:00:00,4.1,10917.0,18,0.8,83,1007,4.3,12412.0,11755.0
1,2020-01-23 03:15:00,4.2,10963.0,18,0.7,83,1007,4.1,11000.0,11400.0
1,2020-01-23 03:30:00,4.3,11109.0,16,0.6,83,1007,3.7,7738.0,7415.0
1,2020-01-23 03:45:00,4.4,11254.0,14,0.6,82,1007,3.4,5535.0,5552.0
1,2020-01-23 04:00:00,4.5,11400.0,13,0.5,82,1007,3.5,5446.0,5226.0
1,2020-01-23 04:15:00,4.6,11411.0,11,0.5,82,1007,3.3,5197.0,5300.0
1,2020-01-23 04:30:00,4.6,11286.0,13,0.4,82,1007,3.5,7411.0,7574.0
1,2020-01-23 04:45:00,4.6,11162.0,14,0.4,82,1007,3.7,7940.0,7588.0
1,2020-01-23 05:00:00,4.7,11037.0,15,0.3,82,1007,3.7,7669.0,7728.0
1,2020-01-23 05:15:00,4.6,10803.0,15,0.3,82,1007,3.6,7563.0,7621.0
1,2020-01-23 05:30:00,4.5,10458.0,17,0.2,82,1007,3.5,7567.0,7344.0
1,2020-01-23 05:45:00,4.4,10114.0,17,0.2,83,1007,3.9,8968.0,9004.0
1,2020-01-23 06:00:00,4.3,9769.0,19,0.1,83,1007,4.1,11050.0,10827.0
1,2020-01-23 06:15:00,4.2,9638.0,19,0.1,83,1007,3.9,9277.0,9198.0
1,2020-01-23 06:30:00,4.2,9720.0,19,0.1,83,1007,3.4,6059.0,6159.0
1,2020-01-23 06:45:00,4.3,9801.0,21,0.0,83,1007,3.1,4519.0,4514.0
1,2020-01-23 07:00:00,4.3,9883.0,21,0.0,83,1007,3.3,4371.0,4335.0
1,2020-01-23 07:15:00,4.3,9844.0,21,0.0,83,1007,3.1,3811.0,3929.0
1,2020-01-23 07:30:00,4.3,9684.0,21,0.1,83,1007,2.9,1812.0,1506.0
1,2020-01-23 07:45:00,4.2,9525.0,21,0.2,82,1008,2.9,1403.0,1175.0
1,2020-01-23 08:00:00,4.2,9365.0,21,0.3,82,1008,3.0,1931.0,1553.0
1,2020-01-23 08:15:00,4.0,8778.0,22,0.4,82,1008,3.1,2451.0,2325.0
1,2020-01-23 08:30:00,3.7,7765.0,24,0.6,81,1008,2.9,2118.0,1965.0
1,2020-01-23 08:45:00,3.4,6752.0,28,0.7,81,1008,2.5,342.0,150.0
1,2020-01-23 09:00:00,3.1,5739.0,31,0.9,80,1008,2.6,123.0,-21.0
1,2020-01-23 09:15:00,2.9,4920.0,34,1.1,80,1008,2.3,-13.0,-208.0
1,2020-01-23 09:30:00,2.9,4296.0,36,1.4,79,1008,2.2,-112.0,-299.0
1,2020-01-23 09:45:00,2.8,3672.0,38,1.7,78,1009,2.6,-104.0,-305.0
1,2020-01-23 10:00:00,2.8,3048.0,41,2.0,77,1009,2.6,-124.0,-314.0
1,2020-01-23 10:15:00,2.7,2590.0,42,2.3,76,1009,2.4,-109.0,-308.0
1,2020-01-23 10:30:00,2.5,2298.0,42,2.6,75,1009,2.2,-117.0,-316.0
1,2020-01-23 10:45:00,2.5,2005.0,40,2.9,74,1009,2.4,-111.0,-282.0
1,2020-01-23 11:00:00,2.3,1713.0,40,3.2,73,1009,2.1,-106.0,-282.0
1,2020-01-23 11:15:00,2.3,1505.0,40,3.5,73,1009,2.1,-105.0,-292.0
1,2020-01-23 11:30:00,2.3,1382.0,38,3.8,72,1009,1.9,-94.0,-286.0
1,2020-01-23 11:45:00,2.1,1258.0,37,4.1,71,1008,1.7,-134.0,-329.0
1,2020-01-23 12:00:00,2.1,1135.0,35,4.4,70,1008,1.9,-132.0,-278.0
1,2020-01-23 12:15:00,2.0,1034.0,30,4.7,69,1008,2.0,-138.0,-336.0
1,2020-01-23 12:30:00,1.9,955.0,28,4.9,68,1008,2.5,-117.0,-270.0
1,2020-01-23 12:45:00,1.8,877.0,22,5.2,67,1008,2.3,-109.0,-319.0
1,2020-01-23 13:00:00,1.8,798.0,19,5.4,66,1008,2.4,-97.0,-284.0
1,2020-01-23 13:15:00,1.8,752.0,16,5.6,66,1008,2.1,-118.0,-305.0
1,2020-01-23 13:30:00,1.6,739.0,14,5.8,65,1008,2.2,-128.0,-342.0
1,2020-01-23 13:45:00,1.6,725.0,11,6.0,64,1007,2.4,-114.0,-292.0
1,2020-01-23 14:00:00,1.5,712.0,8,6.2,63,1007,2.3,-144.0,-323.0
1,2020-01-23 14:15:00,1.5,711.0,4,6.4,63,1007,2.5,-96.0,-284.0
1,2020-01-23 14:30:00,1.5,722.0,0,6.5,62,1007,2.2,-103.0,-259.0
1,2020-01-23 14:45:00,1.6,734.0,0,6.6,61,1007,2.1,-96.0,-288.0
1,2020-01-23 15:00:00,1.6,745.0,0,6.7,60,1007,2.2,-84.0,-317.0
1,2020-01-23 15:15:00,1.6,751.0,0,6.8,59,1007,2.6,-116.0,-306.0
1,2020-01-23 15:30:00,1.7,751.0,0,6.7,59,1007,2.7,-120.0,-234.0
1,2020-01-23 15:45:00,1.8,750.0,0,6.7,58,1007,2.6,-135.0,-332.0
1,2020-01-23 16:00:00,1.9,750.0,0,6.6,58,1007,3.0,-132.0,-279.0
1,2020-01-23 16:15:00,2.0,816.0,0,6.3,60,1007,3.0,-121.0,-311.0
1,2020-01-23 16:30:00,2.1,947.0,3,5.6,64,1007,3.1,805.0,556.0
1,2020-01-23 16:45:00,2.2,1078.0,8,4.9,69,1008,3.4,2926.0,2764.0
1,2020-01-23 17:00:00,2.3,1209.0,10,4.2,73,1008,3.0,2123.0,2141.0
1,2020-01-23 17:15:00,2.6,1525.0,13,3.6,76,1008,2.6,972.0,1001.0
1,2020-01-23 17:30:00,2.8,2026.0,19,3.0,77,1008,2.7,1295.0,1321.0
1,2020-01-23 17:45:00,2.9,2528.0,22,2.5,78,1008,2.5,207.0,151.0
1,2020-01-23 18:00:00,3.1,3029.0,27,1.9,79,1008,2.4,-31.0,-134.0
1,2020-01-23 18:15:00,3.4,3897.0,30,1.5,79,1008,3.2,-68.0,-228.0
1,2020-01-23 18:30:00,3.5,5131.0,37,1.3,79,1008,2.3,-106.0,-294.0
1,2020-01-23 18:45:00,3.7,6366.0,43,1.1,80,1008,1.8,-94.0,-300.0
1,2020-01-23 19:00:00,3.9,7600.0,48,0.9,80,1008,1.6,-149.0,-305.0
1,2020-01-23 19:15:00,4.0,8479.0,53,0.6,81,1008,2.3,-91.0,-273.0
1,2020-01-23 19:30:00,4.0,9003.0,58,0.3,82,1008,2.4,-123.0,-295.0
1,2020-01-23 19:45:00,4.0,9527.0,63,0.0,83,1008,0.9,-105.0,-283.0
1,2020-01-23 20:00:00,4.1,10051.0,68,-0.3,84,1008,0.2,-110.0,-259.0
1,2020-01-23 20:15:00,4.1,10205.0,73,-0.6,85,1008,0.0,-90.0,-287.0
1,2020-01-23 20:30:00,4.0,9990.0,77,-0.9,86,1008,1.4,-93.0,-305.0
1,2020-01-23 20:45:00,3.8,9775.0,81,-1.1,87,1009,1.4,-113.0,-284.0
1,2020-01-23 21:00:00,3.8,9560.0,85,-1.4,88,1009,1.1,-98.0,-270.0
1,2020-01-23 21:15:00,3.8,9200.0,87,-1.6,88,1009,0.9,-124.0,-278.0
1,2020-01-23 21:30:00,3.7,8695.0,85,-1.9,88,1009,2.0,-98.0,-263.0
1,2020-01-23 21:45:00,3.6,8190.0,84,-2.1,89,1009,2.7,-167.0,-319.0
1,2020-01-23 22:00:00,3.5,7685.0,82,-2.4,89,1009,3.1,-26.0,-189.0
1,2020-01-23 22:15:00,3.2,7372.0,81,-2.3,89,1009,3.8,5748.0,4413.0
1,2020-01-23 22:30:00,2.8,7252.0,82,-2.0,88,1009,3.8,7883.0,9142.0
